Date,Open,High,Low,Close,Adj Close,Volume
10/16/2019,254.89,257.61,253.08,255.96,251.6,525200
10/17/2019,256.12,259.96,255.78,256.45,252.09,515100
10/18/2019,257.45,258.4,254.23,255.7,251.35,609900
10/21/2019,256.61,259.84,255.67,257.52,253.14,499600
10/22/2019,257.27,259.47,255.38,258.94,254.53,343100
10/23/2019,258.74,259.62,255.46,256,251.64,622200
10/24/2019,256.65,264.1,255.77,263.6,259.11,852500
10/25/2019,263.03,276.57,263.03,271.75,267.13,1436600
10/28/2019,272.36,274.2,268.73,269.46,264.87,628400
10/29/2019,267.45,267.67,262.26,263.18,258.7,1159700
10/30/2019,263.32,271.99,263.32,270.9,266.29,684900
10/31/2019,271.67,275.55,268.09,271.62,267,732500
11/1/2019,272.93,274.75,268.48,269.26,264.68,534800
11/4/2019,268.06,270.72,265.01,269.29,264.71,824400
11/5/2019,266.98,276.75,265.51,276.31,271.61,748100
11/6/2019,276.83,278.96,273.33,277.82,273.09,544500
11/7/2019,279.16,283.47,277.62,282.68,277.87,853200
11/8/2019,282.68,287.18,278.66,280.66,275.88,671200
11/11/2019,279.76,282.92,278.35,280.69,275.91,663900
11/12/2019,281.43,281.73,276.43,277.88,273.15,522400
11/13/2019,276.99,280.38,276.01,279.4,274.65,435000
11/14/2019,278.69,281.7,276.82,278.66,273.92,512000
11/15/2019,280.04,282.35,277.12,281.41,276.62,629500
11/18/2019,281.22,285.57,280.21,284.61,279.77,831500
11/19/2019,284.62,288.31,283.65,285.74,280.88,491300
11/20/2019,286.49,289.81,285.76,288.24,283.34,630500
11/21/2019,287.26,290.76,283.06,284.05,279.22,1068300
11/22/2019,284.38,287.35,283.21,285.76,280.9,391600
11/25/2019,288.8,293.09,287.97,293,288.01,536400
11/26/2019,292.96,296.25,287.56,289.14,284.22,1067500
11/27/2019,290.4,295.89,288.54,295.33,290.3,571700
11/29/2019,295.42,297.18,293.8,294.3,289.29,340900
12/2/2019,296.26,298.98,293.14,294.05,289.05,949000
12/3/2019,290,292.32,283.7,284.09,279.26,962500
12/4/2019,283.85,288.9,282.66,286,281.13,1307000
12/5/2019,287.88,288.88,285.6,286.87,281.99,674700
12/6/2019,288.58,289.08,286.41,286.57,281.69,454600
12/9/2019,286.61,288.64,285.16,286.37,281.5,759800
12/10/2019,287.05,287.8,283.4,285.24,280.39,1144200
12/11/2019,285.26,294.4,285.26,293.62,288.62,1162300
12/12/2019,292.95,297.33,292.61,296.65,292.25,571100
12/13/2019,295.28,298.33,293.03,294.93,290.55,450600
12/16/2019,295.01,296.22,291.79,292.15,287.82,756400
12/17/2019,292.73,292.73,289.71,291.75,287.42,1045500
12/18/2019,289,291.04,283.46,284.32,280.1,1127800
12/19/2019,285.92,293.55,284.92,292,287.67,1295700
12/20/2019,293.07,293.07,290.96,292,287.67,571700
12/23/2019,292.42,293.57,288.03,288.27,283.99,618700
12/24/2019,288.26,290.69,287.55,289.64,285.34,265100
12/26/2019,290.31,294.05,288.85,292.24,287.9,276100
12/27/2019,293.26,294.21,291.44,292.31,287.97,455800
12/30/2019,292.41,294.26,290.68,293.25,288.9,451600
12/31/2019,292.69,295.97,292.69,293.78,289.42,519000
1/2/2020,293.79,295.1,292.13,293.4,289.05,500000
1/3/2020,291.72,295.26,290.78,294.67,290.3,490800
1/6/2020,294,294.38,291.78,293.95,289.59,525400
1/7/2020,291.7,293.25,290.88,291.85,287.52,501000
1/8/2020,291.19,292.2,288.88,290.56,286.25,543000
1/9/2020,292.29,293.66,287.78,288.9,284.61,994000
1/10/2020,290.78,291.35,287.1,289.09,284.8,933400
1/13/2020,289.57,290.71,283.37,284,279.79,726200
1/14/2020,284.03,291,284.03,285.12,280.89,783800
1/15/2020,284.97,292.58,284.79,288.57,284.29,619200
1/16/2020,289.31,290.93,286.95,287.36,283.1,494800
1/17/2020,287.36,288.87,285.63,286.47,282.22,475900
1/21/2020,286.46,286.66,282.34,285.11,280.88,625300
1/22/2020,286.53,288.82,285.61,285.91,281.67,456300
1/23/2020,285.49,289.01,284.5,288.02,283.75,518600
1/24/2020,289.25,289.25,280.66,285.1,280.87,479100
1/27/2020,282.08,287.2,281.22,282.89,278.69,756300
1/28/2020,283.07,287.12,283.07,284.18,279.96,328100
1/29/2020,285.1,286.97,282.07,285.47,281.23,361500
